# Русский<TAB>English. \n — перенос строки.
Нельзя разыграть	Unplayable
пусто	nothing
Плита под ногой проваливается. Ты летишь вниз и приземляешься на кости — {0}.\nВ пыли рядом лежит «{1}». Наверх ведут выбитые в стене ступени.	The slab gives way underfoot. You fall and land on bones — {0}.\nIn the dust beside you lies "{1}". Steps cut into the wall lead back up.
Выбраться	Climb out
Кузнец не отрывается от наковальни.\n«Перековать? Или хочешь что-то посерьёзнее — под залог?»	The blacksmith doesn't look up from the anvil.\n"Reforge? Or do you want something heavier — on a pledge?"
Перековка	Reforge
Улучшить одну карту из колоды	Upgrade one card from your deck
«Держи. Теперь она бьёт как надо.»	"Here. Now it hits the way it should."
Залог	Pledge
Улучшенная редкая карта. Условие: {0} победы за {1} комнат	An upgraded rare card. Condition: {0} wins within {1} rooms
Перековка: какую карту улучшить?	Reforge: which card to upgrade?
Залог: выбери карту. {0} победы за {1} комнат — или она ослабнет	Pledge: choose a card. {0} wins within {1} rooms — or it weakens
«{0} твоя. Пока. Три победы — и забудем про залог.»	"{0} is yours. For now. Three wins and we forget the pledge."
Кузнец смотрит на печать и хмурится.\n«Опять он... Что он тебе за это обещал?»	The blacksmith looks at the seal and frowns.\n"Him again... What did he promise you for this?"
Передать свиток	Hand over the scroll
Кузнец бесплатно улучшит одну карту	The blacksmith will upgrade one card for free
«Ладно. За доставку — перекую что скажешь.»\n«Если снова встретишь Собирателя, передай ему: я больше не принимаю его долги.»	"Fine. For the delivery I'll reforge whatever you say."\n"If you meet the Collector again, tell him: I no longer take his debts."
Открыть свиток	Open the scroll
Нарушить просьбу Собирателя и посмотреть, что внутри	Break the Collector's request and see what's inside
Печать хрустит. Внутри — «{0}».\nКузнец качает головой: «Сорванная печать. Улучшать бесплатно не стану. Но торговать — торгую.»	The seal cracks. Inside — "{0}".\nThe blacksmith shakes his head: "A broken seal. No free upgrades. But I still trade."
Собиратель перебирает связки карт, не глядя на тебя.\n«Услуга за услугу. Если встретишь Кузнеца — передай ему этот запечатанный свиток. Не открывай его.»	The Collector sorts through bundles of cards without looking at you.\n"A favor for a favor. If you meet the Blacksmith, give him this sealed scroll. Do not open it."
Взять свиток	Take the scroll
Квестовый предмет, места в колоде не занимает	A quest item; takes no space in your deck
«Кузнец сам найдётся. Они всегда находятся, когда должны.»\nА пока — обычные дела.	"The Blacksmith will turn up. They always do when they must."\nMeanwhile — business as usual.
Отказаться	Decline
Ничего не происходит, торговец работает как обычно	Nothing happens; the merchant trades as usual
Собиратель поднимает глаза от свитков.\n«Ну? Что сказал Кузнец?»	The Collector looks up from his scrolls.\n"Well? What did the Blacksmith say?"
«Он больше не принимает твои долги.»	"He no longer takes your debts."
«Я... открыл свиток.»	"I... opened the scroll."
Собиратель усмехается.\n«Так и знал. Что ж, ты сделал больше, чем большинство. Для таких у меня есть особая услуга.»	The Collector smirks.\n"Thought so. Well, you did more than most. For the likes of you I have a special service."
Коллекционерский обмен	Collector's Exchange
Удалить 2 карты из колоды — выбрать 1 редкую из 3	Remove 2 cards from your deck — choose 1 rare out of 3
Собиратель долго молчит.\n«Любопытство — дорогое удовольствие. Особого обмена не будет. Но дело есть дело.»	The Collector is silent for a long while.\n"Curiosity is an expensive pleasure. No special exchange. But business is business."
Обмен: первая карта на удаление	Exchange: first card to remove
Обмен: вторая карта на удаление	Exchange: second card to remove
Выбери редкую карту	Choose a rare card
Собиратель достаёт из-под плаща расколотый кусок воска в оправе.\n«Сломанная печать. Отнеси её Ростовщику. Он поймёт.»\nА пока — обычные дела.	The Collector produces a cracked piece of wax in a setting from under his cloak.\n"A broken seal. Take it to the Usurer. He'll understand."\nMeanwhile — business as usual.
Собиратель встречает тебя у входа.\n«Ну? Он взял печать?»	The Collector meets you at the entrance.\n"Well? Did he take the seal?"
«Долг закрыт. Услуга — нет.»	"The debt is closed. The favor is not."
Собиратель на секунду замолкает.\n«Конечно. Было бы слишком просто, если бы он просто отпустил долг.»\n«Ты прошёл всё это ради моих старых счетов. Я не люблю быть должным. Последний обмен — только для тебя.»	The Collector falls silent for a moment.\n"Of course. It would be too easy if he simply forgave the debt."\n"You went through all this for my old accounts. I don't like owing. One last exchange — for you alone."
Последний обмен	Final Exchange
Отдай одну карту — выбери 1 из 3 улучшенных редких	Give up one card — choose 1 of 3 upgraded rares
«Разумно. Не всякая вещь становится ценнее после обмена.»	"Sensible. Not everything grows more valuable after a trade."
Последний обмен: какую карту отдать?	Final Exchange: which card to give up?
Выбери улучшенную редкую карту	Choose an upgraded rare card
«Теперь мы в расчёте. Почти.»	"Now we're even. Almost."
Собиратель окидывает тебя взглядом и задерживается на печати.\n«Полагаю, печать до него не дошла.»	The Collector looks you over and lingers on the seal.\n"I take it the seal never reached him."
«Я оставил её себе.»	"I kept it."
«Хм. Значит, ты нашёл ей лучшее применение.»\nСобиратель пожимает плечами и возвращается к товару.	"Hm. So you found a better use for it."\nThe Collector shrugs and returns to his wares.
«С долгами покончено. Теперь можем говорить о действительно ценных вещах.»	"The debts are settled. Now we can talk about truly valuable things."
«Береги эту печать. Такие вещи имеют привычку требовать больше, чем обещают.»	"Guard that seal. Such things have a habit of demanding more than they promise."
Собиратель раскладывает карты веером.\n«Обмен, контракт или удача вслепую. Выбирай.»	The Collector fans out his cards.\n"An exchange, a contract, or blind luck. Choose."
Обмен	Exchange
Отдай карту — выбери 1 из 3 той же редкости	Give up a card — choose 1 of 3 of the same rarity
Контракт	Contract
Редкая карта бесплатно, но в колоду добавится Рана	A rare card for free, but a Wound joins your deck
Неизвестный свиток	Unknown Scroll
Отдай обычную карту — получи случайную карту, редкость скрыта	Give up a common card — receive a random card, rarity hidden
Обмен: какую карту отдать?	Exchange: which card to give up?
Выбери карту взамен	Choose a card in return
«{0}. Хороший выбор. Или нет — время покажет.»	"{0}. A good choice. Or not — time will tell."
«{0}. Бесплатно. Почти: в колоду ляжет Рана. Мелочь, правда?»	"{0}. Free. Almost: a Wound goes into your deck. A trifle, isn't it?"
Подписать	Sign
Получить «{0}» и «{1}»	Receive "{0}" and "{1}"
«Приятно иметь дело с решительными.»	"A pleasure dealing with the decisive."
Неизвестный свиток: отдай обычную карту	Unknown Scroll: give up a common card
Редкая. Повезло.	Rare. Lucky.
Обычная. Удача любит настойчивых.	Common. Fortune favors the persistent.
Свиток рассыпается в руках. Внутри — «{0}».\n«{1}»	The scroll crumbles in your hands. Inside — "{0}".\n"{1}"
Ростовщик вежливо улыбается, не поднимая глаз от книги.\n«Всё имеет цену. Не всегда её платят сразу.»	The Usurer smiles politely without looking up from his ledger.\n"Everything has a price. It isn't always paid at once."
Редкая карта. Сломанная печать покрывает первую плату.	A rare card. The broken seal covers the first payment.
Редкая карта. Через {0} комнат: −{1} HP.	A rare card. In {0} rooms: −{1} HP.
Редкая карта. Через {0} комнат Ростовщик потребует плату кровью.	A rare card. In {0} rooms the Usurer will demand payment in blood.
Кредит	Loan
Улучшенная редкая карта. Условие: {0} комнат без лечения	An upgraded rare card. Condition: {0} rooms without healing
Кровавый договор	Blood Pact
+5 к максимальному HP, в колоду ложится Долг (не удаляется)	+5 max HP; a Debt goes into your deck (cannot be removed)
Кредит: возьми карту	Loan: take a card
Ростовщик косится на печать у тебя на поясе.\n«Считай, что эта — за старый долг. Следующая будет дороже.»	The Usurer eyes the seal on your belt.\n"Consider this one payment for an old debt. The next will cost more."
«Возьми. Вернёшь, когда придёт срок. Я всегда получаю своё.»	"Take it. You'll repay when the time comes. I always collect."
Залог: выбери карту. {0} комнат без лечения — или она ослабнет	Pledge: choose a card. {0} rooms without healing — or it weakens
«Береги мою вещь. И не пытайся залечить то, что должно болеть.»	"Take care of my property. And don't try to heal what is meant to hurt."
Ростовщик делает пометку в книге.\n«Теперь ты можешь выдержать больше. Когда-нибудь и я попрошу кое-что взамен.»	The Usurer makes a note in his ledger.\n"Now you can endure more. Someday I'll ask for something in return."
Ростовщик медленно закрывает книгу.\n«Давно я не видел эту печать. Значит, старые долги всё-таки пережили своих хозяев.»	The Usurer slowly closes his ledger.\n"It's been a long time since I saw this seal. So the old debts outlived their masters after all."
Отдать печать	Give the seal
Закрыть старый долг. Ростовщик окажет одну услугу	Close the old debt. The Usurer will grant one favor
Оставить себе	Keep it
Печать станет реликвией: первый кредит без платы. Но сделки Ростовщика станут хуже	The seal becomes a relic: the first loan is free. But the Usurer's deals get worse
Списать Долг	Write off the Debt
Удалить «{0}» из колоды	Remove "{0}" from your deck
Простить кредит	Forgive the loan
Отменить активный кредит без потери HP	Cancel the active loan with no HP loss
Снять залог	Release the pledge
Улучшенная карта остаётся без условия	The upgraded card stays with no condition
Удалить плохую карту	Remove a bad card
Убрать одну карту из колоды	Remove one card from your deck
Какую карту убрать?	Which card to remove?
Ростовщик прячет печать в ящик стола.\n«Долг закрыт. Одна услуга — за счёт заведения.»	The Usurer tucks the seal into a drawer.\n"The debt is closed. One favor — on the house."
«Скажи ему: долг закрыт. Услуга — нет.»	"Tell him: the debt is closed. The favor is not."
Ростовщик смотрит на печать долгим взглядом и ничего не говорит.\n«Как угодно. Вещи вроде этой сами выбирают хозяина. Но мои условия теперь... иные.»	The Usurer gives the seal a long look and says nothing.\n"As you wish. Things like this choose their own master. But my terms are now... different."
Перекрёсток	Crossroads
Пришло время расплаты.\n{0} забирает {1} HP.	Payment is due.\n{0} takes {1} HP.
Залог выполнен.\nКарта остаётся у тебя ({0}).	Pledge fulfilled.\nThe card stays with you ({0}).
Залог провален.\nКарта ослабла ({0}).	Pledge failed.\nThe card has weakened ({0}).
Залог нарушен лечением.\nКарта ослабла ({0}).	Pledge broken by healing.\nThe card has weakened ({0}).
Комната {0}: {1}	Room {0}: {1}
Бой	Combat
Опасная комната	Dangerous room
{0} почуял тебя!	{0} has caught your scent!
Отдых	Rest
Сокровищница	Treasury
Событие	Event
Случайное событие (пока пусто)	Random event (empty for now)
Ты отдохнул: +10 HP	You rested: +10 HP
Отдохнуть	Rest
Восстановить {0} HP	Restore {0} HP
Ты отдохнул у костра: +{0} HP	You rested by the fire: +{0} HP
Точить когти	Sharpen claws
Выбери карту для улучшения	Choose a card to upgrade
Помолиться	Pray
Зелёный огонь теплеет. +{0} HP	The green flame grows warmer. +{0} HP
Принести жертву	Make a sacrifice
−{0} HP: убрать одну карту из колоды навсегда	−{0} HP: remove one card from your deck forever
Какую карту отдать алтарю?	Which card to give to the altar?
Алтарь принимает «{0}». −{1} HP	The altar accepts "{0}". −{1} HP
Переночевать	Spend the night
Ночь проходит тихо. +{0} HP	The night passes quietly. +{0} HP
Обыскать лагерь	Search the camp
Без отдыха. Найти одну из двух оставленных карт	No rest. Find one of two abandoned cards
В вещах лагеря: выбери карту	Among the camp's belongings: choose a card
«{0}» добавлена в колоду	"{0}" added to your deck
Комната {0}: Засада	Room {0}: Ambush
Сундук! Выбери карту	A chest! Choose a card
Силы возвращаются — и с ними ярость. Взять карту?	Your strength returns — and with it, rage. Take the card?
Пропустить	Skip
Кем идти?	Who will you be?
<size=24><b>{0}</b></size>\n\n{1}\n\n<color=#ffb07a>Здоровье: {2}</color>	<size=24><b>{0}</b></size>\n\n{1}\n\n<color=#ffb07a>Health: {2}</color>
Стартовые карты	Starting cards
В путь	Set out
Пропустить ход	End turn
Победа! Выбери карту	Victory! Choose a card
Поражение	Defeat
Заново	Try again
Сброс — {0} карт	Discard — {0} cards
Закрыть	Close
Колода {0}	Deck {0}
Сброс {0}	Discard {0}
<color=#9fd0ff>защ. {0}</color>	<color=#9fd0ff>blk {0}</color>
<color=#9de08a>яд {0}×{1}</color>	<color=#9de08a>poison {0}×{1}</color>
<color=#d9a6ff>−{0} карта</color>	<color=#d9a6ff>−{0} card</color>
Назад	Back
Выйти	Leave
Колода	Deck
Колода — {0} карт	Deck — {0} cards
Свиток Коллекционера с нетронутой печатью. Кузнец хочет его получить — или можно вскрыть самому.	The Collector's scroll with an unbroken seal. The Blacksmith wants it — or you could open it yourself.
Вскрытый свиток. Коллекционер будет недоволен.	An opened scroll. The Collector won't be pleased.
Сломанная печать Коллекционера. Ростовщик знает, что с ней делать.	The Collector's broken seal. The Usurer knows what to do with it.
Запечатанный свиток	Sealed Scroll
Вскрытый свиток	Opened Scroll
Сломанная печать	Broken Seal
{0}: +{1}% за фиолетовой дверью\n	{0}: +{1}% behind the purple door\n
Золото: {0}	Gold: {0}
Начать путь	Begin the journey
Боевой инстинкт	Battle Instinct
Чутьё воина: удар и защита в одном движении.	A warrior's instinct: strike and guard in one motion.
Когти	Claws
Два быстрых удара когтями.	Two quick claw strikes.
Юркие, как у крысы, удары — и время прикрыться.	Rat-quick strikes — and time to cover up.
Неловкий взмах	Clumsy Swipe
Размашисто, но неточно.	Wide, but wild.
Треснувшая чешуя	Cracked Scales
От шипов остались одни трещины.	Only cracks remain where the spikes were.
Долг	Debt
Драконий рык	Dragon Roar
Рык, от которого враг теряет уверенность.	A roar that shakes the enemy's confidence.
Рык, который слышит сам Король крыс.	A roar the Rat King himself can hear.
Кость древнего	Ancient Bone
Тяжёлая кость из трещины. Кто-то был здесь до тебя.	A heavy bone from the crack. Someone was here before you.
Сердце угля	Ember Heart
Тлеющий уголёк из чужого костра. Греет — и жжёт.	A smoldering ember from someone else's fire. It warms — and burns.
Ледяное сердце	Frost Heart
Холод, который копится и бьёт.	Cold that gathers — and strikes.
Чешуя странника	Wanderer's Scale
Лоскут чужой чешуи держит удар не хуже своей.	A strip of another's scales holds a blow as well as your own.
Дыхание огнём	Fire Breath
Драконья кровь горит в жилах.	Dragon blood burns in your veins.
Вспышка	Flare Up
Слабее обычного дыхания, но по горящему врагу — сокрушительно.	Weaker than a normal breath, but devastating against a burning enemy.
Раскалённая чешуя	Heated Scales
Немного защиты и немного огня одной картой.	A little defense and a little fire in one card.
Тяжёлое дыхание	Heavy Breath
Сильнее обычной атаки, но потом нечем дышать.	Stronger than a normal attack, but leaves you breathless.
Королевский хвост	King's Tail
Сокрушительный удар хвостом.	A crushing tail strike.
Удар топором	Axe Strike
Тяжёлый топор не знает изящества. Ему это и не нужно.	A heavy axe knows no grace. It doesn't need any.
Запах крови	Blood Scent
Раненую добычу лев чует издалека.	A lion smells wounded prey from afar.
Нарастающая сила	Building Force
Каждый вдох — тяжелее. Каждый замах — шире.	Every breath heavier. Every swing wider.
Рывок	Dash
Короткий прыжок — и топор уже в движении.	A short leap — and the axe is already moving.
Палач	Executioner
Один удар. Больше не понадобится.	One blow. No more will be needed.
Защитная стойка	Guard Stance
